iso3_country,country_name,Agriculture,Buildings,Fluorinated Gases,Fossil Fuel Operations,Manufacturing,Mineral Extraction,Power,Transportation,Waste,emissions_2025,change_2015_2025,percent_change_2015_2025,cluster,PC1,PC2
CIV,CIV,0.18327809487068814,0.07437410655734986,0.06857382588375027,0.06585182010164092,0.10722450113511796,0.004674773962135295,0.10436046208383135,0.2957377967196113,0.09592461868587496,43931332.934595264,10734836.55121646,32.33725760466487,2,-0.560077610499111,-0.43200032596789967
CMR,CMR,0.2933554647250739,0.06123051872257309,0.0724705296290338,0.1528523639228967,0.04833372486314443,9.036343651497463e-06,0.032843949624370664,0.23983031507118802,0.09907409709806786,60422668.8423386,5421317.829010248,9.856699388523223,2,-0.42621130483750364,-0.8808600042207719
COD,COD,0.09427179295556476,0.1144190427180222,0.046071041783645066,0.050172032909557476,0.02716572994922697,0.17960690703644186,0.00701659557247414,0.2619247398459553,0.21935211722911238,67859028.27829756,19905686.6322016,41.510530755310114,4,-3.1458167713066207,-1.415284806531718
COG,COG,0.11446989570984464,0.0186287792825923,0.013640023598451206,0.5789962256631761,0.02017606567674813,0.001351414038253208,0.07848756474845696,0.14652870989412448,0.027721321388353027,35188327.928956024,6579040.829371374,22.996171860105136,3,0.8765174764752234,-1.689611369163695
COL,COL,0.3067701629379681,0.05191817219266069,0.0424615768402632,0.21888167371255945,0.07385908700904241,0.0035525487312990005,0.09044084665462454,0.11913462657443882,0.09298130534714381,255137547.74988335,21563164.101771176,9.231818902819764,2,0.3634656845559684,-1.553299100227261
CPV,CPV,0.03280833629154503,0.07598111850891284,0.0,0.0,0.03829293766826756,0.013247262653665624,0.1625394919094612,0.633712389383475,0.04341846358467285,1863486.7509498096,675371.4035768302,56.84392555572418,1,-2.5272198923188305,1.1676335478401927
CRI,CRI,0.4163104724206224,0.03216380239455366,0.031798136178326664,0.0,0.06677623928321047,1.9476888666604494e-06,0.02423344835333155,0.3200540025472775,0.10866195113381094,21050590.26623819,2475836.794055734,13.32904255102791,2,-1.6420676461185104,-0.5829749841995169
CUB,CUB,0.19424720074014473,0.10139795828736373,0.01769821763157475,0.023430820014136947,0.15753062239771246,0.0011304523323486114,0.2292662154538417,0.16791208215486722,0.10738643098800993,45983589.845006734,-14938194.6946444,-24.520284176708294,0,0.8890796265534671,1.3574870523551148
CUW,CUW,0.0,0.03406053338266748,0.0,0.0,0.17412313231309376,0.0,0.3790179635509901,0.4078493561671046,0.004949014586144139,2818494.379505273,-1324681.5938996263,-31.972612372797453,0,0.6888582931802991,3.0189209767556218
CYM,CYM,0.0,0.029342056268288667,0.0,0.0,0.010170125377528892,0.0,0.5291970272960338,0.40671026636641167,0.024580524691736837,1086844.0762135729,49629.3751805356,4.784870011108222,1,-1.1176780042752419,2.0571517772631647
CYP,CYP,0.025367947641983156,0.03473469869007219,0.04418466306990901,0.0004926284839707603,0.1027778795204408,0.006312673483206522,0.2887596162523116,0.33021469510831,0.16715519774979598,11600326.677495142,3153282.871556986,37.33001679641191,1,-1.4536672247873699,0.5898273887441129
CZE,CZE,0.05769272464657468,0.11317711641111836,0.045144799697841735,0.06839073198382112,0.1689993246685054,0.0013128981601644293,0.3411405824440485,0.15026594160911608,0.053875880378809686,99796129.06745017,-34838882.80909242,-25.876540079365785,0,2.1395074216294576,1.625035063267106
DEU,DEU,0.1106217034245025,0.171577064449426,0.01349151834941321,0.053631365953481315,0.1862496914327021,0.0005310799678495456,0.24783448645019945,0.1949647202265511,0.02109836974587471,756559138.9733564,-270017906.5705893,-26.302741498327254,0,2.6038183172413927,1.3589257709961038
DJI,DJI,0.2765407758215716,0.038807617386361785,0.0,0.0,0.11925614061354795,0.007978313659228157,0.038368884072970934,0.35653507707203214,0.16251319137428738,3442403.099133187,316152.159238304,10.1128209256591,2,-2.2087835387256005,0.3624348804275178
DNK,DNK,0.278043156362365,0.07521300850955798,0.0053368146040207644,0.07834491369594865,0.06565512174153185,0.004136823644889658,0.09414010038588454,0.3377400358841331,0.06139002517166853,56728505.14591755,-5021147.1027404815,-8.131458105255327,0,-0.015262711468179126,0.7880394819871964
