iso3_country,country_name,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,change_2015_2025,percent_change_2015_2025,archetype
COM,COM,636213.8595251924,672129.2903817944,749863.244441052,765377.2113902459,847326.7920990528,860842.3515222501,820095.5481158893,854036.08547574,853077.9575716092,881625.5246035672,881815.2232446062,245601.36371941376,38.60358589212541,"Lower-emitting, fast-growing"
CPV,CPV,1188115.3473729794,1335056.1413264244,1370466.5600269253,1454259.4379784258,1627040.0382545223,1359087.2333975607,1386065.979221107,1603694.970398655,1622562.9756227336,1823654.0981192298,1863486.7509498096,675371.4035768302,56.843925555724184,"Lower-emitting, fast-growing"
CRI,CRI,18574753.472182456,18884292.09305201,18958229.898896743,19430199.621021792,20501527.71053926,18317187.483917084,20151204.121635478,19762817.50877582,20437255.310250185,21166189.08257635,21050590.26623819,2475836.794055734,13.32904255102791,"Lower-emitting, stable/moderate growth"
CUB,CUB,60921784.53965113,58631142.44247583,58409062.57705282,58263052.37990278,53929276.112351686,48584045.68081025,47395363.055798374,46026161.50279251,46521582.021586396,46675366.835949466,45983589.845006734,-14938194.694644399,-24.520284176708298,"Lower-emitting, declining"
CUW,CUW,4143175.9734048992,4057259.1751325717,3440918.421831518,3037238.6138336994,2713280.7309878776,2596105.4153468544,2550604.8174340953,2651527.790609256,2682886.912206621,2855472.8337836256,2818494.379505273,-1324681.5938996263,-31.972612372797453,"Lower-emitting, declining"
CXR,CXR,9527.829148964298,8995.380072932148,9161.843091793457,9490.834202565033,9461.763988854014,8673.947862862258,23066.924915834225,32915.44567805331,30287.37367509288,26594.57783474889,27778.9097133057,18251.080564341402,191.55549788931035,"Lower-emitting, fast-growing"
CYM,CYM,1037214.7010330373,1093033.677640172,1043244.4337758105,1078290.49185399,1158602.645600726,894577.4973278238,827298.7019860108,983894.2629762732,1072868.6219425283,1115014.9647131748,1086844.0762135729,49629.3751805356,4.784870011108222,"Lower-emitting, stable/moderate growth"
CYP,CYP,8447043.805938156,9144540.25002649,9794922.003385464,10304120.157837862,10988681.594811672,9875519.039502963,10614286.051349107,11221748.027928744,11437375.710045243,11424471.777718946,11600326.677495142,3153282.871556986,37.33001679641191,"Lower-emitting, fast-growing"
CZE,CZE,134635011.87654257,136448750.61606622,135529657.3804254,134278437.77475348,127526974.36417086,116278153.88203156,120840877.80044067,119664631.68697667,106692107.62705693,99548161.31955451,99796129.06745015,-34838882.80909242,-25.876540079365785,"Lower-emitting, declining"
DEU,DEU,1026577045.5439457,1026796686.9629495,977504505.9827411,944639876.6632272,880978694.1501667,811477045.6637951,851948284.158936,848694800.7891189,775177603.8616693,762222626.4524003,756559138.9733564,-270017906.5705893,-26.302741498327258,"High-emitting, declining"
DJI,DJI,3126250.939894883,3125147.44953254,3080483.964764551,3177749.4963156134,3283551.7185592847,3387204.8889634013,3372944.260341252,3431442.359117274,3499258.705246078,3402578.3642683113,3442403.099133187,316152.159238304,10.112820925659099,"Lower-emitting, stable/moderate growth"
DMA,DMA,323101.5399600231,328465.26479867427,296924.16556776874,289792.610238048,336229.7497254739,302938.52009310975,299229.32858373655,338337.07815702894,362648.1840515645,377133.95347953704,379598.74044994294,56497.200489919866,17.48589638319588,"Lower-emitting, stable/moderate growth"
DNK,DNK,61749652.24865803,64395990.91135654,61813618.81568652,63343524.5396275,60280128.29799536,56481962.611961484,59482065.78247188,59442309.77174872,57586810.60166386,56768635.834332205,56728505.14591755,-5021147.1027404815,-8.131458105255327,"Lower-emitting, stable/moderate growth"
DOM,DOM,38658095.12543288,40297532.732607186,40371230.97523547,42014657.471939996,44768118.482531995,42879819.247752726,45823665.7708108,48734321.74779786,50474783.932561286,51929028.83184459,52230744.930265516,13572649.804832637,35.10946351803892,"Lower-emitting, fast-growing"
DZA,DZA,301672023.05306566,305066611.51482844,305532024.21600085,314032632.89416474,315725322.35364085,303469155.7355251,325398109.5809398,339401566.3369817,341432577.6369151,327528511.72422737,327124075.28047156,25452052.227405906,8.436994577693655,"Lower-emitting, stable/moderate growth"
ECU,ECU,93395520.36119847,92549362.14505449,92397088.57463363,91920685.00628743,93491704.5452267,83338173.65988198,84887717.84779848,86846227.89990419,86938424.88076718,90624036.35307918,88274087.28838374,-5121433.072814733,-5.483596057935185,"Lower-emitting, stable/moderate growth"
EGY,EGY,375771700.9533336,375721975.4187042,378423592.2163418,378562692.11343145,361613006.7914158,361960380.0405577,365513591.29379475,369980521.20585465,381057640.72895944,390399826.2163437,385496467.5678741,9724766.614540458,2.587945443967362,"Lower-emitting, stable/moderate growth"
ERI,ERI,10558960.088083874,9676123.027235154,9183919.406127471,9695331.473241875,9791505.364038892,9766969.801522544,10031072.185024204,10181247.5199745,10504748.499329358,10420455.20040049,10429076.341368493,-129883.74671538174,-1.2300808567498964,"Lower-emitting, stable/moderate growth"
ESH,ESH,1027841.6220363443,1076067.0474322257,1005765.8053615359,1056058.1764782972,1135348.2313215123,973611.2136728041,1239285.650968618,1277258.3247432588,1286996.2237994277,1285670.9316609814,1227513.201159672,199671.57912332786,19.426298258650153,"Lower-emitting, stable/moderate growth"
ESP,ESP,367379765.7044905,358690749.11530256,374553676.7173166,373225402.7411196,357131553.3814539,311005818.66948444,332709033.5318931,342787261.714379,331043780.63325506,329226216.2133487,330696959.15269935,-36682806.55179113,-9.984982836887566,"Lower-emitting, stable/moderate growth"
EST,EST,30170618.402451985,29877322.148859456,31553528.486644037,33762210.21543117,25304494.0974307,22195940.990807753,23259587.20084162,25157412.443594333,21290282.746680044,20444305.94407975,20182675.301159665,-9987943.10129232,-33.10486702016222,"Lower-emitting, declining"
ETH,ETH,198161481.21445188,207561734.01165843,212587340.83784732,221569800.29132718,236892434.4366028,247178528.86102322,237168879.47126144,242245845.16669276,254785238.0660189,263986892.26670042,263815399.1898264,65653917.97537452,33.131523630630994,"Lower-emitting, fast-growing"
FIN,FIN,89025893.10083136,91543106.82297131,89844923.78369978,92664549.63641779,88974221.22996937,82257754.85797575,82685138.84815004,80447533.63119508,75966607.28651921,73907855.92620787,74452429.82507439,-14573463.27575697,-16.369915277627108,"Lower-emitting, declining"
FJI,FJI,8811995.802848497,9188516.663860928,9629806.44300219,9962037.65183711,10095608.790180692,9582055.775420412,3092452.5150269084,3556630.269282978,3797590.123894856,3931616.763101465,3976692.625721667,-4835303.17712683,-54.87182796391945,"Lower-emitting, declining"
