iso3_country,country_name,year,sector,sector_clean,emissions
AIA,AIA,2021,buildings,Buildings,898.3999830087491
AIA,AIA,2021,fluorinated-gases,Fluorinated Gases,0.0
AIA,AIA,2021,fossil-fuel-operations,Fossil Fuel Operations,0.0
AIA,AIA,2021,manufacturing,Manufacturing,0.7683190000303171
AIA,AIA,2021,mineral-extraction,Mineral Extraction,0.0
AIA,AIA,2021,power,Power,96140.69193458596
AIA,AIA,2021,transportation,Transportation,42910.87668148923
AIA,AIA,2021,waste,Waste,3878.146705106808
AIA,AIA,2022,agriculture,Agriculture,0.0
AIA,AIA,2022,buildings,Buildings,896.2578906472229
AIA,AIA,2022,fluorinated-gases,Fluorinated Gases,0.0
AIA,AIA,2022,fossil-fuel-operations,Fossil Fuel Operations,0.0
AIA,AIA,2022,manufacturing,Manufacturing,0.7759880000306196
AIA,AIA,2022,mineral-extraction,Mineral Extraction,0.0
AIA,AIA,2022,power,Power,96140.6612131306
AIA,AIA,2022,transportation,Transportation,47396.20874853432
AIA,AIA,2022,waste,Waste,3847.93682542568
AIA,AIA,2023,agriculture,Agriculture,0.0
AIA,AIA,2023,buildings,Buildings,906.5647632495436
AIA,AIA,2023,fluorinated-gases,Fluorinated Gases,0.0
AIA,AIA,2023,fossil-fuel-operations,Fossil Fuel Operations,0.0
AIA,AIA,2023,manufacturing,Manufacturing,0.7835260000309171
AIA,AIA,2023,mineral-extraction,Mineral Extraction,0.0
AIA,AIA,2023,power,Power,96140.71063601533
AIA,AIA,2023,transportation,Transportation,74755.99888216137
AIA,AIA,2023,waste,Waste,3877.5113826435927
AIA,AIA,2024,agriculture,Agriculture,0.0
AIA,AIA,2024,buildings,Buildings,941.0719401842952
AIA,AIA,2024,fluorinated-gases,Fluorinated Gases,0.0
AIA,AIA,2024,fossil-fuel-operations,Fossil Fuel Operations,0.0
AIA,AIA,2024,manufacturing,Manufacturing,0.7911190000312166
AIA,AIA,2024,mineral-extraction,Mineral Extraction,0.0
AIA,AIA,2024,power,Power,96403.83977015987
AIA,AIA,2024,transportation,Transportation,65335.09038911271
AIA,AIA,2024,waste,Waste,3907.201132589841
AIA,AIA,2025,agriculture,Agriculture,0.0
AIA,AIA,2025,buildings,Buildings,975.5459561842952
AIA,AIA,2025,fluorinated-gases,Fluorinated Gases,0.0
AIA,AIA,2025,fossil-fuel-operations,Fossil Fuel Operations,0.0
AIA,AIA,2025,manufacturing,Manufacturing,0.7911190000312166
AIA,AIA,2025,mineral-extraction,Mineral Extraction,0.0
AIA,AIA,2025,power,Power,96140.83977015987
AIA,AIA,2025,transportation,Transportation,63960.72677245082
AIA,AIA,2025,waste,Waste,3837.71069843389
ALA,ALA,2015,agriculture,Agriculture,0.0
ALA,ALA,2015,buildings,Buildings,37915.14919537392
ALA,ALA,2015,fluorinated-gases,Fluorinated Gases,0.0
ALA,ALA,2015,fossil-fuel-operations,Fossil Fuel Operations,0.0
ALA,ALA,2015,manufacturing,Manufacturing,0.0
ALA,ALA,2015,mineral-extraction,Mineral Extraction,0.0
ALA,ALA,2015,power,Power,0.0
ALA,ALA,2015,transportation,Transportation,289586.525536112
ALA,ALA,2015,waste,Waste,2157.6425258662125
ALA,ALA,2016,agriculture,Agriculture,0.0
ALA,ALA,2016,buildings,Buildings,38627.78414428263
ALA,ALA,2016,fluorinated-gases,Fluorinated Gases,0.0
ALA,ALA,2016,fossil-fuel-operations,Fossil Fuel Operations,0.0
ALA,ALA,2016,manufacturing,Manufacturing,0.0
ALA,ALA,2016,mineral-extraction,Mineral Extraction,0.0
ALA,ALA,2016,power,Power,0.0
ALA,ALA,2016,transportation,Transportation,317442.5526858517
ALA,ALA,2016,waste,Waste,2162.021364428631
ALA,ALA,2017,agriculture,Agriculture,0.0
ALA,ALA,2017,buildings,Buildings,37771.10151163535
